"000d77","","","","","","","","","","","","","","Light (< 15500 lbs)"
"000d82","","","","","","","","","","","","","","Light (< 15500 lbs)"
"ffb9a2","","","","","","","","","","","","","",""
"ffeedd","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"fff000","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"fff083","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"fffcda","","","","","","","","","","","","","",""
"ffff86","","","","","","","","","","","","","",""
"fffff8","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"fffffe","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
"ffffff","","","","","","","","","","","","","","No ADS-B Emitter Category Information"
